iter	Passed	Remaining
0	160	160078
1	161	80494
2	161	53802
3	162	40461
4	163	32457
5	163	27126
6	164	23315
7	164	20458
8	165	18236
9	166	16459
10	166	15007
11	167	13796
12	168	12767
13	168	11895
14	169	11133
15	170	10466
16	170	9876
17	171	9348
18	171	8875
19	172	8450
20	173	8108
21	174	7763
22	175	7444
23	175	7151
24	176	6880
25	177	6631
26	177	6399
27	178	6186
28	178	5987
29	179	5803
30	180	5629
31	180	5465
32	181	5311
33	181	5166
34	182	5030
35	183	4901
36	183	4779
37	184	4664
38	184	4555
39	185	4451
40	186	4352
41	186	4258
42	187	4171
43	188	4102
44	189	4021
45	190	3942
46	190	3866
47	191	3794
48	191	3724
49	192	3657
50	193	3593
51	193	3531
52	194	3472
53	194	3415
54	195	3360
55	196	3308
56	197	3262
57	197	3214
58	198	3167
59	199	3120
60	199	3075
61	200	3032
62	201	2989
63	201	2949
64	203	2926
65	204	2888
66	204	2850
67	205	2813
68	205	2777
69	206	2743
70	207	2710
71	207	2678
72	208	2646
73	208	2614
74	209	2583
75	210	2553
76	210	2525
77	211	2497
78	211	2471
79	212	2444
80	213	2417
81	213	2392
82	214	2364
83	214	2340
84	215	2317
85	215	2293
86	216	2270
87	216	2248
88	217	2227
89	218	2209
90	219	2189
91	219	2170
92	220	2150
93	221	2130
94	221	2111
95	222	2092
96	222	2074
97	223	2056
98	224	2039
99	224	2022
100	225	2006
101	226	1989
102	226	1973
103	227	1958
104	227	1942
105	228	1927
106	229	1912
107	229	1897
108	230	1882
109	230	1868
110	231	1854
111	232	1840
112	232	1826
113	233	1813
114	234	1801
115	234	1788
116	235	1775
117	235	1763
118	236	1751
119	237	1738
120	237	1726
121	238	1713
122	238	1702
123	239	1690
124	239	1679
125	240	1669
126	241	1658
127	241	1647
128	242	1637
129	243	1626
130	243	1616
131	244	1606
132	245	1597
133	245	1587
134	246	1577
135	246	1567
136	247	1558
137	248	1549
138	248	1542
139	249	1533
140	250	1524
141	250	1514
142	251	1505
143	251	1496
144	252	1487
145	252	1479
146	253	1470
147	253	1462
148	254	1453
149	255	1445
150	255	1437
151	256	1429
152	257	1422
153	257	1415
154	258	1407
155	258	1400
156	259	1392
157	260	1387
158	261	1381
159	261	1374
160	262	1366
161	262	1359
162	264	1360
163	265	1353
164	266	1347
165	266	1340
166	267	1333
167	268	1327
168	268	1322
169	269	1316
170	270	1310
171	270	1304
172	271	1298
173	272	1292
174	272	1286
175	273	1280
176	274	1274
177	274	1268
178	275	1263
179	275	1257
180	276	1251
181	277	1245
182	277	1239
183	278	1234
184	279	1229
185	280	1225
186	280	1220
187	281	1215
188	282	1210
189	282	1204
190	283	1199
191	283	1194
192	284	1188
193	284	1183
194	285	1177
195	285	1172
