iter	Passed	Remaining
0	0	946
1	1	824
2	2	776
3	2	739
4	3	728
5	4	718
6	4	707
7	5	705
8	6	699
9	6	690
10	7	684
11	8	682
12	9	696
13	9	703
14	10	717
15	11	714
16	12	713
17	13	710
18	13	707
19	14	705
20	15	705
21	15	705
22	16	700
23	17	696
24	17	693
25	18	690
26	19	688
27	19	687
28	20	686
29	21	684
30	21	681
31	22	678
32	23	680
33	23	679
34	24	676
35	25	679
36	26	694
37	27	694
38	28	692
39	28	689
40	29	686
41	29	683
42	30	680
43	31	678
44	31	676
45	32	673
46	33	671
47	33	669
48	34	667
49	35	665
50	35	663
51	36	662
52	36	660
53	37	659
54	38	657
55	38	657
56	39	656
57	40	655
58	41	654
59	41	652
60	42	650
61	42	649
62	43	648
63	44	646
64	44	646
65	45	646
66	46	644
67	46	642
68	47	641
69	48	639
70	48	637
71	49	636
72	49	634
73	50	633
74	51	632
75	51	630
76	52	629
77	53	628
78	53	627
79	54	629
80	55	630
81	56	630
82	56	626
83	57	626
84	58	626
85	58	625
86	59	625
87	60	624
88	60	623
89	61	622
90	62	629
91	63	629
92	64	631
93	65	631
94	66	630
95	66	629
96	67	628
97	68	627
98	68	625
99	69	624
100	69	622
101	70	621
102	71	619
103	71	618
104	72	616
105	72	615
106	73	613
107	74	612
108	74	610
109	75	612
110	76	612
111	77	612
112	77	611
113	78	610
114	79	608
115	79	606
116	80	604
117	80	603
118	81	601
119	81	600
120	82	599
121	82	597
122	83	595
123	84	594
124	84	594
125	85	593
126	86	591
127	86	590
128	87	589
129	87	588
130	88	588
131	89	587
132	89	586
133	90	585
134	91	583
135	91	582
136	92	581
137	92	580
138	93	579
139	94	578
140	94	577
141	95	574
142	95	573
143	96	572
144	96	570
145	97	569
146	97	568
147	98	566
148	98	565
149	99	563
150	100	562
151	100	562
152	102	568
153	103	567
154	103	566
155	104	566
156	105	567
157	106	566
158	106	565
159	107	563
160	107	561
161	108	560
162	108	558
163	109	557
164	109	556
165	110	555
166	111	553
167	111	552
168	112	551
169	112	550
170	113	549
171	113	548
172	114	546
173	114	545
174	115	544
175	116	544
176	116	543
177	117	543
178	118	543
179	119	542
180	119	541
181	120	541
182	121	540
183	121	540
184	122	539
185	124	544
186	125	545
187	126	545
188	126	544
189	127	544
190	128	543
191	129	542
192	129	541
193	130	540
194	131	540
195	131	541
196	132	540
197	133	539
198	133	538
199	134	537
200	135	537
201	135	536
202	136	535
203	136	534
204	137	533
205	138	532
206	138	531
207	139	530
208	139	529
209	140	528
210	140	527
211	141	527
212	142	527
213	143	526
214	143	525
215	144	524
216	145	524
217	146	524
218	146	523
219	147	523
220	148	522
221	148	521
222	149	521
223	150	520
224	150	519
225	151	518
226	151	517
227	152	517
228	153	517
229	154	517
230	155	516
231	155	515
232	156	514
233	156	513
234	157	512
235	158	512
236	158	511
237	159	510
238	159	509
239	160	508
240	161	507
241	161	506
242	162	505
243	163	505
244	164	505
245	164	505
246	165	504
247	166	503
248	166	503
249	167	502
250	168	502
251	168	501
252	169	500
253	170	499
254	170	498
255	171	498
256	172	497
257	172	496
258	173	495
259	173	494
260	174	493
261	174	492
262	175	492
263	176	491
264	176	490
265	177	489
266	178	490
267	179	489
268	179	488
269	180	487
270	180	486
271	181	486
272	182	485
273	182	484
274	183	483
275	184	482
276	184	481
277	185	480
278	185	479
279	186	479
280	186	478
281	187	477
282	187	476
283	188	475
284	189	474
285	189	473
286	190	472
287	190	471
288	191	470
289	192	470
290	192	469
291	193	469
292	194	468
293	194	467
294	195	466
295	195	465
296	196	465
297	197	464
298	197	463
299	198	462
300	198	461
301	199	460
302	199	459
303	200	459
304	201	458
305	201	457
306	202	456
307	202	455
308	203	454
309	203	453
310	204	453
311	205	452
312	205	451
313	206	450
314	206	450
315	207	449
316	208	449
317	209	448
318	209	447
319	210	447
320	211	446
321	211	445
322	212	445
323	212	444
324	213	443
325	214	442
326	214	441
327	215	440
328	215	440
329	216	439
330	216	438
331	217	437
332	218	437
333	218	436
334	219	435
335	220	434
336	220	434
337	221	433
338	221	432
339	222	432
340	223	432
341	224	431
342	225	431
343	225	430
344	226	429
345	226	428
346	227	428
347	228	427
348	228	426
349	229	426
350	229	425
351	230	424
352	231	423
353	231	422
354	232	422
355	232	421
356	233	420
357	234	419
358	234	418
359	235	418
360	235	417
361	236	416
362	237	416
363	237	415
364	238	414
365	239	414
366	239	413
367	240	412
368	241	412
369	241	411
370	242	410
371	243	411
372	244	411
373	245	410
374	246	410
375	246	409
376	247	408
377	247	408
378	248	407
379	249	406
380	250	406
381	250	405
382	252	406
383	253	405
384	254	405
385	255	405
386	255	404
387	256	404
388	256	403
389	257	403
390	258	402
391	259	402
392	260	401
393	260	401
394	261	400
395	262	399
396	262	399
397	263	398
398	264	397
399	264	397
400	265	396
401	265	395
402	266	395
403	267	394
404	268	394
405	269	393
406	269	392
407	270	392
408	270	391
409	271	390
410	272	389
411	272	389
412	273	388
413	273	387
414	274	386
415	275	386
416	275	385
417	276	384
418	277	384
419	277	383
420	278	382
421	278	381
422	279	380
423	279	380
424	280	379
425	281	378
426	281	378
427	282	377
428	283	377
429	283	376
430	284	375
431	285	374
432	285	374
433	286	373
434	287	372
435	287	372
436	288	371
437	288	370
438	289	370
439	290	369
440	290	368
441	291	368
442	292	367
443	292	366
444	293	365
445	294	365
446	294	364
447	295	363
448	295	363
449	296	362
450	297	361
451	297	361
452	298	360
453	299	360
454	300	359
455	300	358
456	301	358
457	302	357
458	302	356
459	303	355
460	303	355
461	304	354
462	305	353
463	305	353
464	306	352
465	307	351
466	307	351
467	308	350
468	308	349
469	309	349
470	310	348
471	310	347
472	311	346
473	312	346
474	312	345
475	313	345
476	314	344
477	315	344
478	316	343
479	317	343
480	317	342
481	318	342
482	319	341
483	320	341
484	320	340
485	321	339
486	321	339
487	322	338
488	323	337
489	323	337
490	324	336
491	325	335
492	325	334
493	326	334
494	327	333
495	328	333
496	328	332
497	329	332
498	330	331
499	330	330
500	331	330
501	332	329
502	332	328
503	333	328
504	334	327
505	334	326
506	335	326
507	335	325
508	336	324
509	337	323
510	337	323
511	338	322
512	338	321
513	339	320
514	339	320
515	340	319
516	341	318
517	341	318
518	342	317
519	343	316
520	343	316
521	344	315
522	345	314
523	345	314
524	346	313
525	347	312
526	347	311
527	348	311
528	348	310
529	349	309
530	349	309
531	350	308
532	351	307
533	351	307
534	352	306
535	353	305
536	353	304
537	354	304
538	354	303
539	355	302
540	355	301
541	356	301
542	357	300
543	357	299
544	358	299
545	359	298
546	359	297
547	360	297
548	361	296
549	361	295
550	362	295
551	362	294
552	363	293
553	364	293
554	364	292
555	365	291
556	365	290
557	366	290
558	366	289
559	367	288
560	368	288
561	368	287
562	369	286
563	369	285
564	370	285
565	371	284
566	371	283
567	372	283
568	373	282
569	373	281
570	374	281
571	374	280
572	375	279
573	376	279
574	376	278
575	377	277
576	378	277
577	378	276
578	379	275
579	380	275
580	380	274
581	381	273
582	381	273
583	382	272
584	382	271
585	383	270
586	383	270
587	384	269
588	385	268
589	385	268
590	386	267
591	386	266
592	387	265
593	388	265
594	388	264
595	389	264
596	390	263
597	391	262
598	391	262
599	392	261
600	392	260
601	393	260
602	394	259
603	394	258
604	395	258
605	395	257
606	396	256
607	397	255
608	397	255
609	398	254
610	398	253
611	399	253
612	400	252
613	400	252
614	401	251
615	402	250
616	402	249
617	403	249
618	404	248
619	404	248
620	405	247
621	406	246
622	406	246
623	407	245
624	408	244
625	408	244
626	409	243
627	409	242
628	410	242
629	411	241
630	411	240
631	412	240
632	412	239
633	413	238
634	413	237
635	414	237
636	414	236
637	415	235
638	416	235
639	416	234
640	417	233
641	417	233
642	418	232
643	419	231
644	420	231
645	420	230
646	421	229
647	421	229
648	422	228
649	423	227
650	423	227
651	424	226
652	424	225
653	425	225
654	426	224
655	426	223
656	427	223
657	427	222
658	428	221
659	428	220
660	429	220
661	430	219
662	430	218
663	431	218
664	431	217
665	432	216
666	433	216
667	433	215
668	434	214
669	435	214
670	435	213
671	436	213
672	437	212
673	437	211
674	438	211
675	439	210
676	439	209
677	440	209
678	441	208
679	441	207
680	442	207
681	442	206
682	443	205
683	444	205
684	444	204
685	445	203
686	445	203
687	446	202
688	446	201
689	447	201
690	448	200
691	448	199
692	450	199
693	450	198
694	451	198
695	452	197
696	452	196
697	453	196
698	454	195
699	454	194
700	455	194
701	456	193
702	456	192
703	457	192
704	457	191
705	458	190
706	458	190
707	459	189
708	460	188
709	460	188
710	461	187
711	461	186
712	462	186
713	463	185
714	463	184
715	465	184
716	466	184
717	467	183
718	467	182
719	468	182
720	469	181
721	469	180
722	470	180
723	470	179
724	471	178
725	472	178
726	472	177
727	473	176
728	473	176
729	474	175
730	474	174
731	475	174
732	476	173
733	476	172
734	477	172
735	478	171
736	478	170
737	479	170
738	480	169
739	481	169
740	481	168
741	482	167
742	483	167
743	483	166
744	484	165
745	485	165
746	485	164
747	486	163
748	486	163
749	487	162
750	488	161
751	488	161
752	489	160
753	489	159
754	490	159
755	491	158
756	491	157
757	492	157
758	493	156
759	493	155
760	494	155
761	495	154
762	496	154
763	496	153
764	497	152
765	498	152
766	498	151
767	499	150
768	500	150
769	500	149
770	501	148
771	501	148
772	502	147
773	503	146
774	503	146
775	504	145
776	504	144
777	505	144
778	506	143
779	506	142
780	507	142
781	507	141
782	508	140
783	508	140
784	509	139
785	510	138
786	511	138
787	511	137
788	512	137
789	513	136
790	513	135
791	514	135
792	514	134
793	515	133
794	516	133
795	516	132
796	517	131
797	517	131
798	518	130
799	519	129
800	519	129
801	520	128
802	521	127
803	521	127
804	522	126
805	522	125
806	523	125
807	524	124
808	525	123
809	525	123
810	526	122
811	527	122
812	527	121
813	528	120
814	529	120
815	529	119
816	530	118
817	530	118
818	531	117
819	532	116
820	532	116
821	533	115
822	534	114
823	534	114
824	535	113
825	536	112
826	536	112
827	537	111
828	537	110
829	538	110
830	539	109
831	541	109
832	542	108
833	543	108
834	543	107
835	545	106
836	545	106
837	546	105
838	547	105
839	548	104
840	549	103
841	549	103
842	550	102
843	551	101
844	553	101
845	554	100
846	557	100
847	557	100
848	558	99
849	559	98
850	560	98
851	560	97
852	562	96
853	562	96
854	563	95
855	564	94
856	564	94
857	565	93
858	566	92
859	566	92
860	567	91
861	568	90
862	569	90
863	570	89
864	571	89
865	572	88
866	573	87
867	573	87
868	574	86
869	575	85
870	575	85
871	576	84
872	577	83
873	577	83
874	578	82
875	579	82
876	580	81
877	580	80
878	581	80
879	582	79
880	582	78
881	583	78
882	584	77
883	584	76
884	585	76
885	586	75
886	587	74
887	587	74
888	588	73
889	589	72
890	589	72
891	590	71
892	591	70
893	591	70
894	592	69
895	593	68
896	594	68
897	594	67
898	595	66
899	595	66
900	596	65
901	597	64
902	597	64
903	598	63
904	599	62
905	600	62
906	600	61
907	601	60
908	602	60
909	603	59
910	603	58
911	604	58
912	604	57
913	605	56
914	606	56
915	606	55
916	607	54
917	608	54
918	608	53
919	609	52
920	610	52
921	610	51
922	611	50
923	611	50
924	612	49
925	613	48
926	613	48
927	614	47
928	615	47
929	616	46
930	617	45
931	618	45
932	618	44
933	619	43
934	620	43
935	620	42
936	621	41
937	622	41
938	622	40
939	623	39
940	624	39
941	624	38
942	625	37
943	626	37
944	626	36
945	627	35
946	628	35
947	628	34
948	629	33
949	630	33
950	631	32
951	631	31
952	632	31
953	633	30
954	634	29
955	634	29
956	635	28
957	636	27
958	636	27
959	637	26
960	637	25
961	638	25
962	639	24
963	639	23
964	640	23
965	640	22
966	641	21
967	642	21
968	642	20
969	643	19
970	643	19
971	644	18
972	645	17
973	645	17
974	646	16
975	647	15
976	648	15
977	648	14
978	649	13
979	650	13
980	650	12
981	651	11
982	652	11
983	652	10
984	653	9
985	654	9
986	654	8
987	655	7
988	656	7
989	656	6
990	657	5
991	658	5
992	658	4
993	659	3
994	660	3
995	660	2
996	661	1
997	662	1
998	663	0
999	664	0
